AMF	Graal	Mock	Manual Inspection	Note
InvalidFileNameException_50-52:getName	Not Covered	Success	Success	
InvalidFileNameException_40-43:InvalidFileNameException	Not Covered	Success	Success	
DiskFileItem_390-392:setDefaultCharset	Not Covered	Success	Success	
DiskFileItem_380-382:getDefaultCharset	Not Covered	Success	Success	
DiskFileItem_370-372:setHeaders	Not Covered	Success	Success	
DiskFileItem_361-363:getHeaders	Not Covered	Success	Success	
DiskFileItem_319-331:getTempFile	Not Covered	Not Covered	Success	
DiskFileItem_283-285:setFormField	Not Covered	Success	Success	
DiskFileItem_272-274:isFormField	Not Covered	Success	Success	
DiskFileItem_261-263:setFieldName	Not Covered	Success	Success	
DiskFileItem_251-253:getFieldName	Not Covered	Success	Success	
DiskFileItem_178-180:getName	Not Covered	Success	Success	
DiskFileItem_162-167:getCharSet	Not Covered	Success	Success	
DiskFileItem_153-155:getContentType	Not Covered	Success	Success	
DiskFileItem_124-137:DiskFileItem	Not Covered	Failure	Failure	
DiskFileItem_339-348:getUniqueId	Not Covered	Not Covered	Success	
MimeUtility_79-145:decodeText	Success	Success	Success	
MimeUtility_216-226:javaCharset	Success	Success	Success	
MimeUtility_158-208:decodeWord	Failure	Failure	Failure	
MimeUtility_68-68:MimeUtility	Not Covered	Not Covered	Success	
LimitedInputStream_138-141:close	Not Covered	Not Covered	Success	
LimitedInputStream_126-128:isClosed	Not Covered	Not Covered	Success	
LimitedInputStream_110-117:read1	Not Covered	Not Covered	Failure	
LimitedInputStream_83-90:read0	Not Covered	Not Covered	Failure	
LimitedInputStream_45-48:LimitedInputStream	Not Covered	Not Covered	Failure	
LimitedInputStream_64-68:checkLimit	Not Covered	Not Covered	Success	
LimitedInputStream_57-57:raiseError	Not Covered	Not Covered	Failure	
MultipartStream_302-304:MultipartStream3	Not Covered	Success	Success	
MultipartStream_233-236:MultipartStream1	Not Covered	Success	Success	
MultipartStream_216-218:MultipartStream0	Not Covered	Success	Success	
MultipartStream_567-583:findSeparator	Not Covered	Success	Success	
MultipartStream_550-558:findByte	Not Covered	Failure	Failure	
MultipartStream_532-539:arrayequals	Not Covered	Success	Success	
MultipartStream_440-480:readHeaders	Not Covered	Success	Success	
MultipartStream_398-404:setBoundary	Not Covered	Success	Success	
MultipartStream_356-381:readBoundary	Not Covered	Success	Success	
MultipartStream_332-344:readByte	Not Covered	Failure	Failure	
MultipartStream_322-324:setHeaderEncoding	Not Covered	Success	Success	
MultipartStream_312-314:getHeaderEncoding	Not Covered	Success	Success	
MultipartStream_289-292:MultipartStream2	Success	Success	Success	
MultipartStream_252-279:MultipartStream	Error	Success	Success	
MultipartStream_407-426:computeBoundaryTable	Success	Success	Success	
MultipartStream_502-504:newInputStream	Not Covered	Success	Success	
ItemInputStream_841-843:isClosed	Error	Not Covered	Success	
ItemInputStream_782-796:skip	Error	Failure	Failure	
ItemInputStream_688-690:read	Error	Failure	Failure	
ItemInputStream_671-676:available	Error	Failure	Failure	
ItemInputStream_752-772:close1	Error	Failure	Failure	
ItemInputStream_742-744:close0	Error	Failure	Failure	
ItemInputStream_716-735:read1	Error	Success	Success	
ItemInputStream_692-705:read0	Error	Failure	Failure	
ItemInputStream_660-662:getBytesRead	Error	Success	Success	
ItemInputStream_804-833:makeAvailable	Error	Failure	Failure	
ItemInputStream_644-653:findSeparator	Error	Failure	Failure	
ItemInputStream_639-641:ItemInputStream	Error	Success	Success	
IllegalBoundaryException_616-618:IllegalBoundaryException	Not Covered	Success	Success	
MalformedStreamException_598-600:MalformedStreamException	Not Covered	Success	Success	
ProgressNotifier_125-129:notifyListener	Not Covered	Success	Success	
ProgressNotifier_119-122:noteItem	Not Covered	Success	Success	
ProgressNotifier_110-116:noteBytesRead	Not Covered	Success	Success	
ProgressNotifier_100-103:ProgressNotifier	Not Covered	Failure	Failure	
FileUpload_74-76:setFileItemFactory	Not Covered	Not Covered	Success	
FileUpload_64-66:getFileItemFactory	Not Covered	Success	Success	
FileUpload_51-56:FileUpload	Not Covered	Failure	Failure	
DiskFileItemFactory_189-191:setDefaultCharset	Not Covered	Failure	Failure	
DiskFileItemFactory_179-181:getDefaultCharset	Not Covered	Failure	Failure	
DiskFileItemFactory_142-144:setSizeThreshold	Not Covered	Success	Success	
DiskFileItemFactory_132-134:getSizeThreshold	Not Covered	Success	Success	
DiskFileItemFactory_121-123:setRepository	Not Covered	Success	Success	
DiskFileItemFactory_110-112:getRepository	Not Covered	Success	Success	
DiskFileItemFactory_90-92:DiskFileItemFactory1	Not Covered	Success	Success	
DiskFileItemFactory_85-88:DiskFileItemFactory	Not Covered	Failure	Failure	
Base64Decoder_138-181:decode	Error	Failure	Failure	
Base64Decoder_127-127:Base64Decoder	Not Covered	Not Covered	Success	
FileItemHeaders_61-61:getHeaderNames	Not Covered	Not Covered	Success	
FileItemHeaders_53-53:getHeaders	Not Covered	Not Covered	Success	
FileItemHeaders_40-40:getHeader	Not Covered	Not Covered	Success	
FileItemFactory_37-37:createItem	Not Covered	Not Covered	Failure	
FileItemIterator_42-42:next	Not Covered	Not Covered	Failure	
FileItemIterator_31-31:hasNext	Not Covered	Not Covered	Success	
DefaultFileItem_57-65:DefaultFileItem	Not Covered	Failure	Success	Mocking False Negative - `super()` call not captured by LoggingAspect
FileUploadException_87-89:getCause	Not Covered	Success	Success	
FileUploadException_77-83:printStackTrace1	Not Covered	Failure	Failure	
FileUploadException_64-70:printStackTrace0	Not Covered	Failure	Failure	
FileUploadException_54-57:FileUploadException	Not Covered	Success	Success	
FileUploadException_44-46:FileUploadException1	Not Covered	Success	Success	
FileUploadException_35-37:FileUploadException0	Not Covered	Success	Success	
FileUploadBase_536-538:getHeader	Not Covered	Success	Success	
FileUploadBase_472-485:parseHeaders	Not Covered	Success	Success	
FileUploadBase_401-409:createItem	Not Covered	Not Covered	Success	
FileUploadBase_386-388:getFieldName2	Not Covered	Success	Success	
FileUploadBase_306-308:getFileName0	Not Covered	Success	Success	
FileUploadBase_974-976:setProgressListener	Not Covered	Not Covered	Success	
FileUploadBase_965-967:getProgressListener	Not Covered	Success	Success	
FileUploadBase_457-459:newFileItemHeaders	Not Covered	Failure	Success	Mocking False Negative - class does not explicitly define a constructor, so the patch for `clazz.__init__()` is not executed
FileUploadBase_420-450:getParsedHeaders	Not Covered	Success	Success	
FileUploadBase_353-355:getFieldName0	Not Covered	Success	Success	
FileUploadBase_316-318:getFileName1	Not Covered	Success	Success	
FileUploadBase_280-296:getBoundary	Not Covered	Not Covered	Failure	
FileUploadBase_222-224:setHeaderEncoding	Not Covered	Success	Success	
FileUploadBase_211-213:getHeaderEncoding	Not Covered	Success	Success	
FileUploadBase_200-202:setFileCountMax	Not Covered	Not Covered	Success	
FileUploadBase_191-193:getFileCountMax	Not Covered	Success	Success	
FileUploadBase_182-184:setFileSizeMax	Not Covered	Not Covered	Success	
FileUploadBase_172-174:getFileSizeMax	Not Covered	Success	Success	
FileUploadBase_161-163:setSizeMax	Not Covered	Not Covered	Success	
FileUploadBase_149-151:getSizeMax	Not Covered	Success	Success	
FileUploadBase_51-60:isMultipartContent	Not Covered	Success	Success	
FileUploadBase_515-523:parseHeaderLine	Not Covered	Success	Success	
FileUploadBase_494-507:parseEndOfLine	Not Covered	Success	Success	
FileUploadBase_363-376:getFieldName1	Not Covered	Not Covered	Success	
FileUploadBase_326-345:getFileName2	Not Covered	Success	Success	
FileUploadBase_139-139:setFileItemFactory	Not Covered	Not Covered	Failure	
FileUploadBase_132-132:getFileItemFactory	Not Covered	Not Covered	Failure	
FileUploadIOException_726-728:getCause	Not Covered	Success	Success	
FileUploadIOException_716-718:FileUploadIOException	Not Covered	Success	Success	
IOFileUploadException_787-789:getCause	Not Covered	Success	Success	
IOFileUploadException_776-779:IOFileUploadException	Not Covered	Success	Success	
SizeLimitExceededException_882-884:SizeLimitExceededException1	Not Covered	Not Covered	Success	
SizeLimitExceededException_873-875:SizeLimitExceededException0	Not Covered	Not Covered	Success	
SizeLimitExceededException_894-896:SizeLimitExceededException	Not Covered	Failure	Success	Mocking False Negative - `super()` call not captured by LoggingAspect
FileItemStreamImpl_629-631:setHeaders	Error	Not Covered	Success	
FileItemStreamImpl_620-622:getHeaders	Error	Not Covered	Success	
FileItemIteratorImpl_669-675:getContentLength	Error	Not Covered	Success	
FileSizeLimitExceededException_955-957:setFieldName	Not Covered	Success	Success	
FileSizeLimitExceededException_946-948:getFieldName	Not Covered	Success	Success	
FileSizeLimitExceededException_937-939:setFileName	Not Covered	Success	Success	
FileSizeLimitExceededException_928-930:getFileName	Not Covered	Success	Success	
FileSizeLimitExceededException_919-921:FileSizeLimitExceededException	Not Covered	Failure	Success	Mocking False Negative - `super()` call not captured by LoggingAspect
SizeException_833-835:getPermittedSize	Not Covered	Success	Success	
SizeException_823-825:getActualSize	Not Covered	Success	Success	
SizeException_811-815:SizeException	Not Covered	Not Covered	Failure	
InvalidContentTypeException_753-755:InvalidContentTypeException	Not Covered	Success	Success	
UnknownSizeException_858-860:UnknownSizeException	Not Covered	Not Covered	Success	
FileCountLimitExceededException_43-45:getLimit	Not Covered	Success	Success	
FileCountLimitExceededException_33-36:FileCountLimitExceededException	Not Covered	Success	Success	
ParseException_32-34:ParseException	Not Covered	Success	Success	
UploadContext_36-36:contentLength	Not Covered	Not Covered	Success	
FileItem_175-175:getOutputStream	Not Covered	Not Covered	Failure	
FileItem_165-165:setFormField	Not Covered	Not Covered	Failure	
FileItem_157-157:isFormField	Not Covered	Not Covered	Success	
FileItem_149-149:setFieldName	Not Covered	Not Covered	Failure	
FileItem_142-142:getFieldName	Not Covered	Not Covered	Success	
FileItem_135-135:delete	Not Covered	Not Covered	Failure	
FileItem_127-127:write	Not Covered	Not Covered	Failure	
FileItem_113-113:getString1	Not Covered	Not Covered	Success	
FileItem_105-105:getString0	Not Covered	Not Covered	Failure	
FileItem_95-95:get	Not Covered	Not Covered	Success	
FileItem_88-88:getSize	Not Covered	Not Covered	Success	
FileItem_81-81:isInMemory	Not Covered	Not Covered	Success	
FileItem_73-73:getName	Not Covered	Not Covered	Success	
FileItem_61-61:getContentType	Not Covered	Not Covered	Success	
FileItem_54-54:getInputStream	Not Covered	Not Covered	Success	
Closeable_37-37:isClosed	Not Covered	Not Covered	Failure	
Closeable_29-29:close	Not Covered	Not Covered	Failure	
ParameterParser_250-289:parse3	Failure	Success	Success	Graal False Negative - Glue code not handling edge cases - `org.apache.commons.fileupload.IntegrationUtils.setArrayElement`
ParameterParser_233-238:parse2	Success	Success	Success	
ParameterParser_218-223:parse1	Success	Success	Success	
ParameterParser_193-209:parse0	Success	Success	Success	
ParameterParser_181-183:setLowerCaseNames	Success	Success	Success	
ParameterParser_170-172:isLowerCaseNames	Not Covered	Success	Success	
ParameterParser_55-57:ParameterParser	Success	Failure	Failure	Graal False Positive - `__init__` does not initialize 6 instance fields properly. This doesn't make the test fail, but translation is not functionally equivalent.
ParameterParser_142-161:parseQuotedToken	Success	Success	Success	
ParameterParser_119-132:parseToken	Success	Success	Success	
ParameterParser_101-110:isOneOf	Success	Success	Success	
ParameterParser_75-91:getToken	Success	Success	Success	
ParameterParser_64-66:hasChar	Success	Success	Success	
Streams_97-114:checkFileName	Not Covered	Success	Success	
Streams_28-28:Streams	Not Covered	Not Covered	Success	
RequestContext_60-60:getInputStream	Not Covered	Not Covered	Success	
RequestContext_52-52:getContentLength	Not Covered	Not Covered	Success	
RequestContext_43-43:getContentType	Not Covered	Not Covered	Success	
RequestContext_36-36:getCharacterEncoding	Not Covered	Not Covered	Failure	
FileItemHeadersSupport_43-43:setHeaders	Not Covered	Not Covered	Failure	
FileItemHeadersSupport_34-34:getHeaders	Not Covered	Not Covered	Success	
DefaultFileItemFactory_50-52:DefaultFileItemFactory	Not Covered	Failure	Success	Mocking False Negative - `super()` call not captured by LoggingAspect
DefaultFileItemFactory_54-56:DefaultFileItemFactory1	Not Covered	Success	Success	
PortletFileUpload_55-57:PortletFileUpload1	Not Covered	Success	Success	
PortletFileUpload_51-53:PortletFileUpload	Not Covered	Failure	Failure	
QuotedPrintableDecoder_44-82:decode	Error	Failure	Failure	
QuotedPrintableDecoder_91-97:hexToBinary	Success	Success	Success	
QuotedPrintableDecoder_34-34:QuotedPrintableDecoder	Not Covered	Not Covered	Success	
FileItemHeadersImpl_63-70:getHeaders	Error	Success	Success	
FileItemHeadersImpl_57-59:getHeaderNames	Error	Success	Success	
FileItemHeadersImpl_46-53:getHeader	Success	Success	Success	
FileItemHeadersImpl_78-86:addHeader	Success	Success	Success	
ProgressListener_31-31:update	Not Covered	Not Covered	Success	
FileItemStream_91-91:isFormField	Not Covered	Not Covered	Success	
FileItemStream_83-83:getFieldName	Not Covered	Not Covered	Success	
FileItemStream_76-76:getName	Not Covered	Not Covered	Success	
FileItemStream_67-67:getContentType	Not Covered	Not Covered	Success	
FileItemStream_60-60:openStream	Not Covered	Not Covered	Failure	